date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:45	229/229	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jan%202020%2008:37:45%20GMT	http://unvab.com/robots.txt		(from )
11:37:46	41461/41461	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2008:37:45%20GMT	http://unvab.com/snow-free-html/	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/index.html	(from )
11:37:46	2711/2711	---M--	200	added ('OK')	image/png	etag:%22589e29d0-a97%22	http://unvab.com/snow-free-html/assets/images/favicon.png	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/favicon.png	(from http://unvab.com/snow-free-html/)
11:37:47	120432/120432	---MCZ	200	added ('OK')	text/css	etag:W/%225adb86e8-1d670%22	http://unvab.com/snow-free-html/assets/css/combined.css	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/css/combined.css	(from http://unvab.com/snow-free-html/)
11:37:47	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2013%20Jan%202020%2008:37:46%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/MAKSIM/web-programming/1/www.googletagmanager.com/gtm.25445.delayed	(from http://unvab.com/snow-free-html/)
11:37:47	44470/44470	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Aug%202019%2017:22:41%20GMT	https://www.google-analytics.com/analytics.js	C:/MAKSIM/web-programming/1/www.google-analytics.com/analytics.js	(from http://unvab.com/snow-free-html/)
11:37:48	41461/41461	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2008:37:48%20GMT	http://unvab.com/snow-free-html/index.html	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/index-2.html	(from http://unvab.com/snow-free-html/)
11:37:49	2041/2041	---M--	200	added ('OK')	image/svg+xml	etag:%22589e29d0-7f9%22	http://unvab.com/snow-free-html/assets/images/logo-light.svg	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/logo-light.svg	(from http://unvab.com/snow-free-html/)
11:37:49	2041/2041	---M--	200	added ('OK')	image/svg+xml	etag:%22589e29d0-7f9%22	http://unvab.com/snow-free-html/assets/images/logo.svg	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/logo.svg	(from http://unvab.com/snow-free-html/)
11:37:49	17840/17840	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2008:37:49%20GMT	http://unvab.com/snow-free-html/portfolio.html	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/portfolio.html	(from http://unvab.com/snow-free-html/)
11:37:49	26023/26023	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2008:37:49%20GMT	http://unvab.com/snow-free-html/blog.html	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/blog.html	(from http://unvab.com/snow-free-html/)
11:37:51	3454/3454	---M--	200	added ('OK')	image/png	etag:%22589e29d0-d7e%22	http://unvab.com/snow-free-html/assets/images/about-me-signature.png	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/about-me-signature.png	(from http://unvab.com/snow-free-html/)
11:37:57	48270/48270	---M--	200	added ('OK')	image/jpeg	etag:%22589e29d0-bc8e%22	http://unvab.com/snow-free-html/assets/images/bg-menu.jpg	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/bg-menu.jpg	(from http://unvab.com/snow-free-html/)
11:37:57	10962/10962	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2008:37:57%20GMT	http://unvab.com/snow-free-html/portfolio-single.html	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/portfolio-single.html	(from http://unvab.com/snow-free-html/)
11:38:00	13675/13675	---M--	200	added ('OK')	image/jpeg	etag:%22589e29d0-356b%22	http://unvab.com/snow-free-html/assets/images/portfolio-7-sm.jpg	C:/MAKSIM/web-programming/1/unvab.com/snow-free-html/assets/images/portfolio-7-sm.jpg	(from http://unvab.com/snow-free-html/)
